.
('.', '.', '.', 'O', 'O')
Specificity of Intracellular TransSplicing Reaction by hTE RT-Targeting G roup 11 ntron                                                                                                                       1                                                         1
('Specificity', 'Specificity', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Intracellular', 'Intracellular', 'JJ', 'B-NP', 'O')
('TransSplicing', 'TransSplicing', 'NN', 'I-NP', 'O')
('Reaction', 'Reaction', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('hTE', 'hTE', 'NN', 'B-NP', 'B-protein')
('RT-Targeting', 'RT-Targeting', 'NN', 'I-NP', 'I-protein')
('G', 'G', 'NN', 'I-NP', 'I-protein')
('roup', 'roup', 'NN', 'I-NP', 'I-protein')
('11', '11', 'CD', 'B-NP', 'I-protein')
('ntron', 'ntron', 'NN', 'I-NP', 'I-protein')
('1', '1', 'CD', 'B-NP', 'I-protein')
('1', '1', 'CD', 'I-NP', 'I-protein')
