.
('.', '.', '.', 'O', 'O')
Estimating the Genetic Epidemiology Parameters of Selected Cancers in Korea Population  The Korean Twin Study  ls        SubjectsCase definitionFamilial recurrence risk             tWls                                       Population Prevalence                            L                                  Familial recurrence riskjwinComparison with previous studiesStomach cancer and Colorectal cancer of womenCase definition and prevalence
('Estimating', 'Estimate', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Genetic', 'Genetic', 'JJ', 'I-NP', 'O')
('Epidemiology', 'Epidemiology', 'NNP', 'I-NP', 'O')
('Parameters', 'Parameter', 'NNPS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Selected', 'Select', 'VBN', 'B-NP', 'O')
('Cancers', 'Cancer', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Korea', 'Korea', 'NNP', 'B-NP', 'O')
('Population', 'Population', 'NNP', 'I-NP', 'O')
('The', 'The', 'NNP', 'I-NP', 'O')
('Korean', 'Korean', 'NNP', 'I-NP', 'O')
('Twin', 'Twin', 'NNP', 'I-NP', 'O')
('Study', 'Study', 'NNP', 'I-NP', 'O')
('ls', 'l', 'VBZ', 'B-VP', 'O')
('SubjectsCase', 'SubjectsCase', 'NNP', 'B-NP', 'O')
('definitionFamilial', 'definitionFamilial', 'JJ', 'I-NP', 'O')
('recurrence', 'recurrence', 'NN', 'I-NP', 'O')
('risk', 'risk', 'NN', 'I-NP', 'O')
('tWls', 'tWl', 'NNS', 'I-NP', 'O')
('Population', 'Population', 'NN', 'I-NP', 'O')
('Prevalence', 'Prevalence', 'NN', 'I-NP', 'O')
('L', 'L', 'NN', 'I-NP', 'O')
('Familial', 'Familial', 'JJ', 'I-NP', 'O')
('recurrence', 'recurrence', 'NN', 'I-NP', 'O')
('riskjwinComparison', 'riskjwinComparison', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('previous', 'previous', 'JJ', 'B-NP', 'O')
('studiesStomach', 'studiesStomach', 'NN', 'I-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Colorectal', 'Colorectal', 'JJ', 'B-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('womenCase', 'womenCase', 'NN', 'B-NP', 'O')
('definition', 'definition', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('prevalence', 'prevalence', 'NN', 'B-NP', 'O')
