.
('.', '.', '.', 'O', 'O')
Supervised Model for Identifying Differentially Expressed Genes in DNA Microarray Gene Expression Dataset Using Biological Pathway Information        The global compatibility between two graphs   Graph structure as a common template structure               Differentially expressed genes in the Rosetta compendium datasetPMPM    GmGmM MPGm,Gm-MCorrelation of micrarray data and pathway knowledge
('Supervised', 'Supervised', 'NNP', 'B-NP', 'O')
('Model', 'Model', 'NNP', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Identifying', 'Identifying', 'NNP', 'B-NP', 'O')
('Differentially', 'Differentially', 'NNP', 'I-NP', 'O')
('Expressed', 'Expressed', 'NNP', 'I-NP', 'O')
('Genes', 'Genes', 'NNP', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('DNA', 'DNA', 'NN', 'B-NP', 'B-DNA')
('Microarray', 'Microarray', 'NNP', 'I-NP', 'I-DNA')
('Gene', 'Gene', 'NNP', 'I-NP', 'I-DNA')
('Expression', 'Expression', 'NNP', 'I-NP', 'O')
('Dataset', 'Dataset', 'NNP', 'I-NP', 'O')
('Using', 'Using', 'NNP', 'I-NP', 'O')
('Biological', 'Biological', 'NNP', 'I-NP', 'O')
('Pathway', 'Pathway', 'NNP', 'I-NP', 'O')
('Information', 'Information', 'NNP', 'I-NP', 'O')
('The', 'The', 'DT', 'B-NP', 'O')
('global', 'global', 'JJ', 'I-NP', 'O')
('compatibility', 'compatibility', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('graphs', 'graph', 'NNS', 'I-NP', 'O')
('Graph', 'Graph', 'NN', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('common', 'common', 'JJ', 'I-NP', 'B-DNA')
('template', 'template', 'NN', 'I-NP', 'I-DNA')
('structure', 'structure', 'NN', 'I-NP', 'I-DNA')
('Differentially', 'Differentially', 'RB', 'B-NP', 'I-DNA')
('expressed', 'express', 'VBN', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'B-NP', 'I-DNA')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Rosetta', 'Rosetta', 'NNP', 'I-NP', 'O')
('compendium', 'compendium', 'NN', 'I-NP', 'O')
('datasetPMPM', 'datasetPMPM', 'NN', 'I-NP', 'O')
('GmGmM', 'GmGmM', 'NN', 'I-NP', 'O')
('MPGm,Gm-MCorrelation', 'MPGm,Gm-MCorrelation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('micrarray', 'micrarray', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('pathway', 'pathway', 'NN', 'B-NP', 'O')
('knowledge', 'knowledge', 'NN', 'I-NP', 'O')
