.
('.', '.', '.', 'O', 'O')
Aging and UV Irradiation Related Changes of Gene Expression in Primary Human Keratinocytes                             2Cell cultureUV irradiation2RNA extraction and array hybridizationReverse transcriptionpolymerase chain reaction (RTPCR)SA Pgalactosidase assay22Analysis of image data                                                      Life span and replicative senescence of a primary human keratinocytesMicroarray analysis to determine UVBregulated genes in primary human keratinocytes2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 2
('Aging', 'Aging', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('UV', 'UV', 'NN', 'I-NP', 'O')
('Irradiation', 'Irradiation', 'NN', 'I-NP', 'O')
('Related', 'Related', 'JJ', 'I-NP', 'O')
('Changes', 'Change', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Gene', 'Gene', 'NN', 'B-NP', 'B-DNA')
('Expression', 'Expression', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Primary', 'Primary', 'JJ', 'B-NP', 'B-cell_type')
('Human', 'Human', 'JJ', 'I-NP', 'I-cell_type')
('Keratinocytes', 'Keratinocyte', 'NNS', 'I-NP', 'I-cell_type')
('2Cell', '2Cell', 'NN', 'I-NP', 'O')
('cultureUV', 'cultureUV', 'NN', 'I-NP', 'O')
('irradiation2RNA', 'irradiation2RNA', 'NN', 'I-NP', 'O')
('extraction', 'extraction', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('array', 'array', 'NN', 'B-NP', 'O')
('hybridizationReverse', 'hybridizationReverse', 'NN', 'I-NP', 'O')
('transcriptionpolymerase', 'transcriptionpolymerase', 'NN', 'I-NP', 'O')
('chain', 'chain', 'NN', 'I-NP', 'O')
('reaction', 'reaction', 'NN', 'I-NP', 'O')
('(RTPCR)SA', '(RTPCR)SA', 'NN', 'I-NP', 'O')
('Pgalactosidase', 'Pgalactosidase', 'NN', 'I-NP', 'O')
('assay22Analysis', 'assay22Analysis', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('image', 'image', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('Life', 'Life', 'NN', 'I-NP', 'O')
('span', 'span', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('replicative', 'replicative', 'JJ', 'B-NP', 'O')
('senescence', 'senescence', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'O')
('human', 'human', 'JJ', 'I-NP', 'O')
('keratinocytesMicroarray', 'keratinocytesMicroarray', 'NN', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('determine', 'determine', 'VB', 'I-VP', 'O')
('UVBregulated', 'UVBregulated', 'JJ', 'B-NP', 'B-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('in', 'in', 'IN', 'B-PP', 'O')
('primary', 'primary', 'JJ', 'B-NP', 'O')
('human', 'human', 'JJ', 'I-NP', 'O')
('keratinocytes2', 'keratinocytes2', 'NN', 'I-NP', 'O')
('2', '2', 'CD', 'I-NP', 'O')
