.
('.', '.', '.', 'O', 'O')
Development of a Knowledge Base for Korean Pharmacogenomics Research Network                Referenced data schema, database, and toolrdGeneral overview                                                  Detail explanation of the Model
('Development', 'Development', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('Knowledge', 'Knowledge', 'NNP', 'I-NP', 'O')
('Base', 'Base', 'NNP', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Korean', 'Korean', 'NNP', 'B-NP', 'O')
('Pharmacogenomics', 'Pharmacogenomics', 'NNP', 'I-NP', 'O')
('Research', 'Research', 'NNP', 'I-NP', 'O')
('Network', 'Network', 'NNP', 'I-NP', 'O')
('Referenced', 'Referenced', 'NNP', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('schema,', 'schema,', 'VBD', 'B-VP', 'O')
('database,', 'database,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('toolrdGeneral', 'toolrdGeneral', 'NN', 'I-NP', 'O')
('overview', 'overview', 'NN', 'I-NP', 'O')
('Detail', 'Detail', 'JJ', 'I-NP', 'O')
('explanation', 'explanation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Model', 'Model', 'NNP', 'I-NP', 'O')
