.
('.', '.', '.', 'O', 'O')
PrimateDB: Development of Primate Genome DB and Web Service                       Primate genome sequence databasePhylogenetic information              Primate retroelement database                                   Links to other resourcesDescription of the PrimateDB interface
('PrimateDB:', 'PrimateDB:', 'NNP', 'B-NP', 'O')
('Development', 'Development', 'NNP', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Primate', 'Primate', 'NNP', 'B-NP', 'O')
('Genome', 'Genome', 'NNP', 'I-NP', 'O')
('DB', 'DB', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Web', 'Web', 'NNP', 'B-NP', 'O')
('Service', 'Service', 'NNP', 'I-NP', 'O')
('Primate', 'Primate', 'NNP', 'I-NP', 'O')
('genome', 'genome', 'NN', 'I-NP', 'O')
('sequence', 'sequence', 'NN', 'I-NP', 'O')
('databasePhylogenetic', 'databasePhylogenetic', 'JJ', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('Primate', 'Primate', 'JJ', 'I-NP', 'O')
('retroelement', 'retroelement', 'NN', 'I-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('Links', 'Link', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('resourcesDescription', 'resourcesDescription', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('PrimateDB', 'PrimateDB', 'NN', 'I-NP', 'O')
('interface', 'interface', 'NN', 'I-NP', 'O')
