.
('.', '.', '.', 'O', 'O')
A Cotwin Control Study of Smoking and Risk Factors of Metabolic Syndrome                  2         SubjectsSmoking habitsObesity and other risk factors2Analysis                           Cotwin control study designMeasurementsSex difference in smoking discordant rate1Sex differenceStrengths and limitations
('A', 'A', 'DT', 'B-NP', 'O')
('Cotwin', 'Cotwin', 'NNP', 'I-NP', 'O')
('Control', 'Control', 'NNP', 'I-NP', 'O')
('Study', 'Study', 'NNP', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Smoking', 'Smoking', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Risk', 'Risk', 'NN', 'I-NP', 'O')
('Factors', 'Factor', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Metabolic', 'Metabolic', 'JJ', 'B-NP', 'O')
('Syndrome', 'Syndrome', 'NN', 'I-NP', 'O')
('2', '2', 'CD', 'I-NP', 'O')
('SubjectsSmoking', 'SubjectsSmoking', 'NN', 'I-NP', 'O')
('habitsObesity', 'habitsObesity', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('risk', 'risk', 'NN', 'I-NP', 'O')
('factors2Analysis', 'factors2Analysis', 'NN', 'I-NP', 'O')
('Cotwin', 'Cotwin', 'NNP', 'I-NP', 'O')
('control', 'control', 'NN', 'I-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('designMeasurementsSex', 'designMeasurementsSex', 'NN', 'I-NP', 'O')
('difference', 'difference', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('smoking', 'smoke', 'VBG', 'B-VP', 'O')
('discordant', 'discordant', 'JJ', 'B-NP', 'O')
('rate1Sex', 'rate1Sex', 'NN', 'I-NP', 'O')
('differenceStrengths', 'differenceStrength', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('limitations', 'limitation', 'NNS', 'I-NP', 'O')
