.
('.', '.', '.', 'O', 'O')
Higher Order Knowledge Processing: Pathway Database and Ontologies          1                 2MoleculeRole ontology and Event ontologyINOH pathway queries                                     Query search in INOH with ontological support
('Higher', 'Higher', 'NNP', 'B-NP', 'O')
('Order', 'Order', 'NNP', 'I-NP', 'O')
('Knowledge', 'Knowledge', 'NNP', 'I-NP', 'O')
('Processing:', 'Processing:', 'NNP', 'I-NP', 'O')
('Pathway', 'Pathway', 'NNP', 'I-NP', 'O')
('Database', 'Database', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Ontologies', 'Ontologies', 'NNP', 'B-NP', 'O')
('1', '1', 'CD', 'I-NP', 'O')
('2MoleculeRole', '2MoleculeRole', 'NN', 'I-NP', 'O')
('ontology', 'ontology', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Event', 'Event', 'NN', 'B-NP', 'O')
('ontologyINOH', 'ontologyINOH', 'NN', 'I-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('queries', 'query', 'VBZ', 'B-VP', 'O')
('Query', 'Query', 'NNP', 'B-NP', 'O')
('search', 'search', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('INOH', 'INOH', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('ontological', 'ontological', 'JJ', 'B-NP', 'O')
('support', 'support', 'NN', 'I-NP', 'O')
