.
('.', '.', '.', 'O', 'O')
BioSubroutine: an Open Web Server for Bioinformatics Algorithms and Subroutines                  Database & Server construction                                                                        Description of the database server and interface                                                                                              Categorization of subroutinesGuidelines for the comment fieldsSummary of the subroutines that compromise the databaseUsage
('BioSubroutine:', 'BioSubroutine:', 'NNP', 'B-NP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('Open', 'Open', 'NNP', 'I-NP', 'O')
('Web', 'Web', 'NNP', 'I-NP', 'O')
('Server', 'Server', 'NNP', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Bioinformatics', 'Bioinformatics', 'NNP', 'B-NP', 'O')
('Algorithms', 'Algorithms', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Subroutines', 'Subroutines', 'NNP', 'B-NP', 'O')
('Database', 'Database', 'NNP', 'I-NP', 'O')
('&', '&', 'CC', 'I-NP', 'O')
('Server', 'Server', 'NNP', 'I-NP', 'O')
('construction', 'construction', 'NN', 'I-NP', 'O')
('Description', 'Description', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('server', 'server', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('interface', 'interface', 'NN', 'I-NP', 'O')
('Categorization', 'Categorization', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('subroutinesGuidelines', 'subroutinesGuideline', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('comment', 'comment', 'NN', 'I-NP', 'O')
('fieldsSummary', 'fieldsSummary', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('subroutines', 'subroutine', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('compromise', 'compromise', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('databaseUsage', 'databaseUsage', 'NN', 'I-NP', 'O')
