.
('.', '.', '.', 'O', 'O')
Comparative Genomics of Tcomplex protein 10 like in Humans and Chimpanzees                                 Comparing 231 genes on chimpanzee chromosome 22 with their orthologous on human chromosome 21, we have found that 15 orthologs have indels within their coding sequences.
('Comparative', 'Comparative', 'JJ', 'B-NP', 'O')
('Genomics', 'Genomic', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Tcomplex', 'Tcomplex', 'NN', 'B-NP', 'B-protein')
('protein', 'protein', 'NN', 'I-NP', 'I-protein')
('10', '10', 'CD', 'I-NP', 'I-protein')
('like', 'like', 'IN', 'B-PP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Humans', 'Humans', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Chimpanzees', 'Chimpanzees', 'NNP', 'B-NP', 'O')
('Comparing', 'Comparing', 'NNP', 'I-NP', 'O')
('231', '231', 'CD', 'B-NP', 'B-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('on', 'on', 'IN', 'B-PP', 'O')
('chimpanzee', 'chimpanzee', 'NN', 'B-NP', 'B-DNA')
('chromosome', 'chromosome', 'NN', 'I-NP', 'I-DNA')
('22', '22', 'CD', 'I-NP', 'I-DNA')
('with', 'with', 'IN', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('orthologous', 'orthologous', 'JJ', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('human', 'human', 'JJ', 'B-NP', 'B-DNA')
('chromosome', 'chromosome', 'NN', 'I-NP', 'I-DNA')
('21,', '21,', 'IN', 'B-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('found', 'find', 'VBN', 'I-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('15', '15', 'CD', 'B-NP', 'O')
('orthologs', 'ortholog', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('indels', 'indel', 'NNS', 'B-NP', 'O')
('within', 'within', 'IN', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('coding', 'cod', 'VBG', 'I-NP', 'O')
('sequences.', 'sequences.', 'NNS', 'I-NP', 'O')
It was rather surprising that significant number of genes have changed by indel, despite the shorter time since their divergence and led us hypothesize that indels and structural changes may represent one of the major mechanism of proteome evolution in the higher primates.
('It', 'It', 'PRP', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('rather', 'rather', 'RB', 'B-ADJP', 'O')
('surprising', 'surprising', 'JJ', 'I-ADJP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('significant', 'significant', 'JJ', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('changed', 'change', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('indel,', 'indel,', 'NN', 'B-NP', 'O')
('despite', 'despite', 'IN', 'B-PP', 'O')
